"class_assignment","n_faculty","pct_of_sample","meets_5pct_threshold","mean_career_length","sd_career_length","mean_pub_per_year","sd_pub_per_year","median_pub_per_year","pct_ever_promoted","pct_multi_promoted","pct_never_asst_prof"
1,8,7,TRUE,12.1,8.7,14.16,3.37,14.08,62.5,37.5,0
2,2,1.8,FALSE,35.5,10.6,7.07,4.44,7.07,100,100,0
3,24,21.1,TRUE,17.2,12.8,2.6,1.1,2.66,58.3,37.5,8.3
4,50,43.9,TRUE,13.6,9.7,5.51,1.24,5.54,62,44,0
5,2,1.8,FALSE,14.5,12,13.41,17.31,13.41,50,50,0
6,28,24.6,TRUE,17.3,10.1,0.25,0.35,0.07,78.6,46.4,3.6
