"parameter","coef","Se","wald_z","p_value","sig"
"intercept class1",14.99706,0.00177,8466.884,0,"***"
"intercept class2",-19.95258,0,-Inf,0,"***"
"intercept class3",0.63931,0,Inf,0,"***"
"intercept class4",3.85147,0,Inf,0,"***"
"career_year class1",-0.05611,6e-05,-970.169,0,"***"
"career_year class2",3.8004,0.00413,921.166,0,"***"
"career_year class3",0.06489,0,Inf,0,"***"
"career_year class4",0.18526,0,Inf,0,"***"
