"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
55,1,0.998845686187944,2.76236506798611e-17,0.000346410726282033,0.00080790308577372,"Afra Saeed Ahmad","George Mason University",2016,0,10,1,2.1
100,1,0.999677491100052,1.11555151624655e-70,0.000322103400213039,4.05499734549503e-07,"Alyssa Gibbons","Colorado State University",2007,0,15,1,2
3,1,0.99999998986333,1.61364737425538e-246,1.74434569575594e-17,1.01366701312388e-08,"Anita Blanchard","University of North Carolina at Charlotte",1999,0,27,2,2.96296296296296
108,1,0.837391688912441,1.61040695294412e-07,0.145434090744743,0.0171740593021215,"Anna Gödöllei","CUNY Graduate Center",2022,0,4,0,1.25
67,1,0.998115141984906,1.13978083031232e-31,1.49872205662661e-09,0.00188485651637173,"C. Shawn Burke","University of Central Florida",2011,1,15,1,2.66666666666667
109,1,0.999276035411157,2.09219988017925e-130,8.2154347002192e-17,0.000723964588843358,"Charles Scherbaum","CUNY Graduate Center",2003,0,23,2,3.60869565217391
101,1,0.993728031817992,2.31832780900867e-15,3.46978379766627e-07,0.00627162120362572,"Clair Reynolds Kueny","Missouri University of Science & Technology",2015,0,11,1,2.81818181818182
49,1,0.999999999999954,0,2.51826986291213e-40,4.61525171662328e-14,"James Rounds","University of Illinois Urbana-Champaign",1982,0,44,2,4.20454545454546
58,1,0.859013273848427,3.58564905314673e-14,5.40594435579059e-08,0.140986672092094,"Lauren E. Kuykendall","George Mason University",2015,0,11,1,3.27272727272727
44,1,0.658935301349889,1.16770435187608e-08,0.337141200413771,0.00392348655929654,"Leo Alexander III","University of Illinois Urbana-Champaign",2022,0,4,0,0.75
46,1,0.99995220087198,3.81831148165249e-212,3.91105392260867e-24,4.77991280202912e-05,"Louise Fitzgerald","University of Illinois Urbana-Champaign",1982,0,27,2,4.07407407407407
54,1,0.976556520526485,1.24858385583398e-09,0.0161366231992363,0.0073068550256946,"Melissa Robertson","University of Georgia",2020,0,6,0,1.5
38,1,0.999999999996182,1.26900963838749e-244,6.6348124638905e-17,3.81753408163964e-12,"Mikki Hebl","Rice University",1998,0,28,2,3.92857142857143
15,1,0.970558032267246,2.90023232911095e-155,5.80162643205204e-24,0.0294419677327542,"Mindy Bergman","Texas A&M University",2001,0,25,2,4.4
53,1,0.751983042416139,1.93265754893995e-14,0.247965669395024,5.12881888172898e-05,"Neal Outland","University of Georgia",2019,0,7,0,0.857142857142857
93,1,0.783692689355966,5.26618112805115e-08,0.207144024611928,0.00916323337029462,"Ning Hsu","Virginia Tech",2022,0,4,0,1
11,1,0.999999998739926,1.12271877679888e-232,1.0896179165619e-16,1.26007374426634e-09,"Quinetta Roberson","Michigan State University",1999,0,27,2,3
24,1,0.999999997793675,0,2.20632487625806e-09,2.4837119740049e-17,"Richard D. Harvey","Saint Louis University",1995,1,31,0,2.19354838709677
