"parameter","coef","Se","wald_z","p_value","sig"
"intercept class1",1.26852,0,Inf,0,"***"
"intercept class2",4.88924,0,Inf,0,"***"
"intercept class3",16.21482,0,Inf,0,"***"
"career_year class1",-0.03605,0,-Inf,0,"***"
"career_year class2",0.08046,0.00149,54.123,0,"***"
"career_year class3",-2.36095,0,-Inf,0,"***"
"I(career_year^2) class1",0.00292,0.02265,0.129,0.89727,""
"I(career_year^2) class2",0.00284,0.0068,0.417,0.67656,""
"I(career_year^2) class3",0.22747,0,Inf,0,"***"
