"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
60,2,1.70615297779108e-62,1,5.20179087834028e-57,6.70839314206374e-17,"Deborah E. Rupp","George Mason University",2002,0,24,2,9.91666666666667
22,2,2.87793793096068e-08,0.962617034666208,0.0259861081995659,0.0113968283548468,"Denise Reyes","University of Houston",2021,0,5,0,5.2
106,2,0.000607158414557038,0.619218473273626,0.00423664232705844,0.375937725984759,"Dia Chatterjee","CUNY Graduate Center",2022,0,4,0,2.75
80,2,2.08948654210129e-13,0.994360244525242,4.3076036489044e-09,0.00563975116694543,"Don Zhang","Louisiana State University",2016,0,10,1,4.8
33,2,1.32587953362166e-16,0.995099891043237,0.00487212854552385,2.79804112388687e-05,"Franki Y. H. Kung","Purdue University",2018,0,8,1,6.875
45,2,4.93268155704059e-74,0.999999999866047,0,1.33952822997468e-10,"Fritz Drasgow","University of Illinois Urbana-Champaign",1982,0,40,2,7.325
88,2,2.44908048886797e-10,0.991428290891753,0.000612592818381274,0.00795911604495802,"Gargi Sawhney","Auburn University",2019,0,7,1,4.71428571428571
82,2,4.79039855541105e-06,0.827266076847135,0.152184686507381,0.0205444462469294,"Haley Cobb","Louisiana State University",2023,0,3,0,6
47,2,3.38739514128287e-10,0.978366141727692,1.79932674653745e-06,0.0216320586068219,"Hanyi Haylee Min","University of Illinois Urbana-Champaign",2018,0,8,0,4.75
20,2,9.31719076772373e-11,0.919033328619624,5.6120173883467e-11,0.0809666712310841,"Isaac Sabat","University of Houston",2016,0,10,1,4
62,2,1.02422281807358e-33,0.999954436910917,1.58391582002221e-96,4.55630890831531e-05,"James LeBreton","Pennsylvania State University",2002,0,24,2,5.875
52,2,1.47172466495058e-08,0.977378974019766,0.00224470091050382,0.0203763103524836,"Jeffrey Olenick","University of Georgia",2020,0,6,0,4.66666666666667
118,2,3.43518877513113e-06,0.865520234347496,0.116790990317758,0.0176853401459708,"Jenna Van Fossen","Clemson University",2023,0,3,0,6
