"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","posterior_class_5","posterior_class_6","posterior_class_7","posterior_class_8","posterior_class_9","posterior_class_10","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
55,1,0.737252113515814,6.52190202142942e-36,1.36107090831714e-14,3.31730123758719e-05,0.00019169982316868,0.245130178498666,9.61718236219977e-18,2.02503473684915e-07,0.0173911420062298,1.49064025800859e-06,"Afra Saeed Ahmad","George Mason University",2016,0,10,1,2.1
100,1,0.988872481505994,5.00519143012729e-51,1.07451056374909e-92,5.6040002895428e-10,3.99063772415256e-05,0.00941253682415237,2.08264964481033e-27,6.63543592136113e-11,0.00167506439668849,1.02691690917107e-08,"Alyssa Gibbons","Colorado State University",2007,0,15,1,2
67,1,0.598129731240688,6.10385068740994e-41,9.62605560226163e-34,0.000232851491784315,2.55222255124764e-09,0.173582223326499,7.63782648738969e-19,2.21975416095458e-09,0.228055189169042,8.93961029331818e-15,"C. Shawn Burke","University of Central Florida",2011,1,15,1,2.66666666666667
24,1,0.999737827856103,3.00228114067464e-89,0,1.95261659654446e-20,8.13195845018582e-08,0.000168311941499669,4.64645772809763e-51,2.91614883978628e-25,9.37788828127866e-05,1.5743491580341e-19,"Richard D. Harvey","Saint Louis University",1995,1,31,0,2.19354838709677
72,1,0.513967857157367,6.98854160467411e-25,7.32696748199893e-07,0.0210405130219019,1.2353073758522e-05,0.255987963919354,2.69034837450837e-11,6.54065564812221e-08,0.208990435956712,7.87406983284479e-08,"Shiyang Su","University of Central Florida",2018,0,8,0,2.375
84,1,0.907256549137291,3.85741430624273e-79,0,5.94679570127106e-15,7.29156820026042e-09,0.089354597098665,7.16324180849819e-43,1.12386831346922e-15,0.00338884647246896,3.43425798229446e-21,"Sylvia Roch","University at Albany, SUNY",1997,0,29,2,2.6551724137931
126,1,0.319031738121913,9.11973753055132e-14,2.01037120412097e-05,0.198125657149038,0.00127075976583615,0.251633860162395,1.5388341366732e-06,5.95557475049916e-06,0.229708167319506,0.000202219360292549,"Tiffany Bisbey","George Washington University",2022,0,4,0,2.25
1,2,3.81817903705558e-16,0.935906310361857,2.75443908141165e-29,1.71166367822787e-06,2.36085340411197e-33,9.96107939742772e-20,0.064091977800215,2.11021097952551e-38,1.74248872747961e-10,2.85665086165036e-38,"Bo Zhang","University of Illinois Urbana-Champaign",2020,0,6,1,14.8333333333333
16,2,2.9189992393118e-07,0.641625528637384,2.60816293038656e-20,0.0109887810153521,8.50792770918929e-16,1.81711513955637e-09,0.347256875572905,1.96027056721032e-20,0.000128521057318078,1.10991195214707e-17,"Ian Hughes","Texas A&M University",2023,0,3,0,13.3333333333333
35,2,6.56288843602879e-47,0.999999046796212,1.33104320669217e-34,2.05542388318907e-20,1.30662391667339e-84,8.9702992066952e-50,9.53203787735569e-07,5.06460267601277e-78,4.02790270616046e-32,8.75910637366564e-100,"Louis Tay","Purdue University",2013,0,13,2,17.8461538461538
125,2,2.16030813945057e-65,0.99999149709314,6.69769423525883e-120,3.70068797895583e-22,1.69210480741307e-117,3.90595325868302e-60,8.50290686004189e-06,3.20461642351881e-84,1.38446961518677e-41,4.24960343704076e-148,"Nils Olsen","George Washington University",2002,0,24,1,15
23,2,2.63055290664754e-20,0.999631920139022,1.21382900591591e-37,2.88847751876209e-10,1.02576484531296e-37,2.00219488935845e-24,0.000368079572109864,6.68435470796993e-44,2.05611268601288e-14,3.03930157666036e-42,"Xiaowen Chen","Saint Louis University",2021,0,5,0,19.6
116,3,5.01620461632634e-173,1.19068445658186e-97,1,2.6748930219388e-111,1.86380473637111e-217,2.72457520892902e-146,3.72982554852345e-97,3.27653583633668e-132,1.56057169873262e-144,2.26572903108896e-257,"Cong Liu","Rutgers University",2003,0,23,2,25.6521739130435
103,3,0.0114003773235873,1.96699951446541e-31,0.653231655441387,2.22798023563074e-06,0.089805042943252,0.203454721607597,4.09901234990875e-17,0.0176195711738473,0.00010157895328516,0.0243848245768079,"Vahe Permzadian","Missouri University of Science & Technology",2020,0,6,0,1.16666666666667
64,4,1.00877129226158e-10,4.61053027345092e-38,6.74702279498867e-209,0.995463960551972,7.8676702003578e-32,0.000386839451474973,2.99929165419642e-14,3.8315808835255e-11,0.00414919985733002,1.30897698623241e-52,"Alicia Grandey","Pennsylvania State University",1999,0,27,2,5.18518518518519
105,4,0.00811732710108764,1.24530311207056e-05,9.0977719900858e-10,0.875391567035613,1.96326273644539e-07,0.0010943221115234,0.015087357444725,2.15734471950816e-10,0.100296760827403,1.4996741227224e-08,"Andrea Bazzoli","CUNY Graduate Center",2023,0,3,0,6.33333333333333
79,4,2.65472515788813e-08,6.407506303287e-18,2.45384681073323e-15,0.997672168293765,3.04720719058047e-26,8.21254480763185e-09,1.72525966843321e-05,3.48621146280389e-22,0.00231054434975177,3.21502774117136e-35,"Asia A. Eaton","Florida International University",2012,0,14,2,6
34,4,2.63086725808765e-09,2.33475461318771e-10,1.0173201342517e-18,0.963949248430108,1.49408040578303e-28,1.73504474190975e-11,0.0352610429460259,1.36575175219683e-28,0.000789705742173255,1.93833340497039e-36,"Brooke N. Macnamara","Purdue University",2014,0,12,1,7.5
95,4,4.96208151091526e-14,1.07826290222607e-18,6.6796864220168e-84,0.999899385593327,8.04332072258696e-41,4.3675629274861e-13,6.19771143485462e-05,9.89384622177277e-29,3.8637291837965e-05,4.49502029550352e-57,"Bryan Dik","Colorado State University",2005,0,21,2,7.0952380952381
91,4,0.00361493468304549,3.43862149303799e-17,3.99156471997066e-11,0.770829741262075,2.96958430580832e-13,0.000164730007045705,2.13143625536081e-06,1.09938308797269e-15,0.225388462571364,3.18138440284593e-17,"Charles Calderwood","Virginia Tech",2017,0,9,1,4.44444444444444
70,4,0.0368626783547107,5.89988949495414e-16,1.16571246202695e-08,0.620403819184144,3.38758472159708e-09,0.00418437353656101,2.15527104637461e-06,4.62560601031652e-12,0.338546958595537,8.66540927437451e-12,"Chelsea LeNoble","University of Central Florida",2019,0,7,0,3.85714285714286
7,4,9.29636128874206e-17,1.89053281641625e-16,3.72404829356289e-72,0.998903734294646,1.05225225837502e-44,1.43106426343833e-14,0.00109531205425763,6.31926104736732e-29,9.53651081734516e-07,3.59860456593738e-62,"Chu-Hsiang (Daisy) Chang","Michigan State University",2005,0,21,2,7.14285714285714
30,4,0.0071739014369729,2.7369469773085e-05,7.26602167872405e-11,0.869655960110692,1.06495633693e-07,0.000694090310056959,0.0218657577949736,6.22132977257914e-11,0.100582806078582,8.16844183506856e-09,"Claire E. Smith","University of South Florida",2023,0,3,0,6
48,4,1.5022208257547e-13,4.04561654672717e-20,1.64730982662835e-81,0.999930720084882,1.7284947174831e-39,2.95372111653071e-12,1.24098890489864e-05,6.96488967237409e-27,5.68700229647625e-05,1.30648328954671e-55,"Daniel A Newman","University of Illinois Urbana-Champaign",2005,0,21,2,6.57142857142857
27,4,0.157230348622974,1.77357681534453e-09,2.28972129299168e-06,0.506730140322605,0.000508160221995943,0.0852379541733023,0.000141266926184292,2.24048710541913e-06,0.250027970986652,0.000119626764311166,"Daniel Griffin","University of South Florida",2023,0,3,0,3
40,4,0.00563646843624227,4.75021936605486e-16,6.97542642508299e-09,0.794176568737202,7.98038440830579e-12,0.00045987568058306,4.39618694869579e-06,3.09590905542809e-14,0.199722683975583,3.03773141729393e-15,"Danielle King","Rice University",2018,0,8,1,5.125
22,4,0.00488577363908059,1.61113359354334e-09,3.0984193216601e-10,0.88100622699447,1.09684393100007e-09,0.000374110868555965,0.000943105926524015,5.80974119321926e-13,0.112790779542499,1.04704394619458e-11,"Denise Reyes","University of Houston",2021,0,5,0,5.2
106,4,0.196086321059354,3.31810532384061e-12,3.00405442477409e-06,0.417477709570161,0.000146234741933866,0.0985188881299528,1.33613732435966e-05,4.54445616389318e-07,0.287738435444996,1.5591176999851e-05,"Dia Chatterjee","CUNY Graduate Center",2022,0,4,0,2.75
80,4,0.00104098108592812,1.7433151285427e-18,1.99019656366121e-09,0.853556048806462,8.50079269865255e-15,9.17825268266261e-05,9.68821072226245e-07,6.34460738621266e-16,0.145310216769505,1.43388316700697e-19,"Don Zhang","Louisiana State University",2016,0,10,1,4.8
33,4,3.39404669018217e-06,9.18412628099056e-09,5.85774415232051e-14,0.970223529216503,2.92241278746217e-19,3.01156107985007e-08,0.0210427479451656,2.87433728975108e-22,0.0087302894918455,8.61372741299099e-24,"Franki Y. H. Kung","Purdue University",2018,0,8,1,6.875
45,4,4.08428497771963e-36,1.2208178210387e-24,0,0.999999746649045,7.40669204468095e-70,1.20397923781123e-14,2.53350919607041e-07,2.91817689150449e-37,2.33817427270802e-14,1.72179264087257e-115,"Fritz Drasgow","University of Illinois Urbana-Champaign",1982,0,40,2,7.325
88,4,0.00266399493099496,2.57940382876794e-13,3.91008139329907e-09,0.877093517094425,8.79552514882244e-12,0.000191171743532921,5.46808169403762e-05,1.62254940216277e-14,0.119996631494948,7.80675288858761e-15,"Gargi Sawhney","Auburn University",2019,0,7,1,4.71428571428571
82,4,0.00986535103095868,8.31689568169266e-06,9.9563166568734e-10,0.867226279919472,2.99927470912041e-07,0.00137268420065282,0.0122551352725905,3.22887681588923e-10,0.109271906795411,2.46392434731695e-08,"Haley Cobb","Louisiana State University",2023,0,3,0,6
47,4,0.00871826445981822,2.68844115711144e-16,1.07945793385453e-09,0.741953733464832,1.61366073395293e-11,0.000592851669253226,3.1328855728896e-06,3.48987012543178e-14,0.248732016424887,7.63387555113757e-15,"Hanyi Haylee Min","University of Illinois Urbana-Champaign",2018,0,8,0,4.75
20,4,0.0213229378357683,1.25462194448028e-21,5.56712904789996e-09,0.519434034015615,8.66957748432962e-12,0.00316185302055459,1.9765990720616e-08,4.33008413863447e-13,0.456081149785839,5.12923320258536e-16,"Isaac Sabat","University of Houston",2016,0,10,1,4
62,4,4.86346822859676e-10,6.0262330399058e-28,8.32529976699996e-155,0.982825558235956,9.68344039904902e-35,8.24161570805019e-09,1.60168486556068e-09,6.77039511323083e-24,0.0171744314343962,6.51139245244849e-52,"James LeBreton","Pennsylvania State University",2002,0,24,2,5.875
