"faculty_id","class_assignment","posterior_class_1","posterior_class_2","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
96,2,0.000180680136797902,0.999819319863202,"Keaton Fletcher","Colorado State University",2019,0,7,0,5.28571428571429
8,2,0,1,"Kevin Ford","Michigan State University",1983,0,43,2,10.2093023255814
9,2,6.92150587302615e-05,0.99993078494127,"Kevin Hoff","Michigan State University",2019,0,7,0,5
85,2,0,1,"Kevin Williams","University at Albany, SUNY",1984,0,42,2,6.69047619047619
4,2,1.1973565376996e-11,0.999999999988026,"Kimberly French","Colorado State University",2018,0,8,1,0
110,2,0,1,"Kristin Sommer","CUNY Graduate Center",1998,0,28,2,0.142857142857143
58,2,1.64528951201801e-12,0.999999999998355,"Lauren E. Kuykendall","George Mason University",2015,0,11,1,3.27272727272727
44,2,6.20463228185286e-07,0.999999379536772,"Leo Alexander III","University of Illinois Urbana-Champaign",2022,0,4,0,0.75
78,2,1.9278877803525e-06,0.99999807211222,"Lorena Solis","University of Connecitcut",2023,0,3,0,0
92,2,0.0203280979777522,0.979671902022248,"Louis Hickman","Virginia Tech",2022,0,4,0,7.25
46,2,0,1,"Louise Fitzgerald","University of Illinois Urbana-Champaign",1982,0,27,2,4.07407407407407
50,2,1.14341899952202e-36,1,"Malissa Clark","University of Georgia",2010,0,16,2,5.6875
37,2,1.2974517374738e-196,1,"Margaret Beier","Rice University",2004,0,22,2,5.81818181818182
121,2,6.50553759848057e-16,0.999999999999999,"Marissa Shuffler","Clemson University",2013,0,13,2,5.46153846153846
68,2,0,1,"Mark Ehrhart","University of Central Florida",2001,0,25,2,0.08
54,2,8.66654637004043e-08,0.999999913334536,"Melissa Robertson","University of Georgia",2020,0,6,0,1.5
26,2,3.09321360088521e-76,1,"Michael Gillespie","University of South Florida",2009,0,17,1,0.176470588235294
38,2,0,1,"Mikki Hebl","Rice University",1998,0,28,2,3.92857142857143
15,2,0,1,"Mindy Bergman","Texas A&M University",2001,0,25,2,4.4
71,2,2.54858564708119e-46,1,"Mindy Shoss","University of Central Florida",2011,0,15,2,0
2,2,1.23538869499284e-152,1,"Nathan Bowling","University of Central Florida",2005,0,21,2,7.52380952380952
6,2,1.26054567583567e-31,1,"Nathan T. Carter","Michigan State University",2010,0,16,2,6.75
53,2,2.03627506171806e-09,0.999999997963725,"Neal Outland","University of Georgia",2019,0,7,0,0.857142857142857
