"faculty_id","class_assignment","pp_class1","pp_class2","pp_class3","pp_class4","faculty_name"
1,1,0.999672495464808,0.000327504534787698,4.04380133607835e-13,5.54535546366517e-27,"Bo Zhang"
2,2,6.22103546071125e-57,0.999999999823407,1.76593396731605e-10,1.35317146020658e-42,"Nathan Bowling"
3,3,1.61358242488932e-246,1.01362971310426e-08,0.999999989863703,1.74445571522892e-17,"Anita Blanchard"
4,4,1.82146966388525e-29,5.1307590094908e-14,4.92445923469136e-05,0.999950755407602,"Kimberly French"
5,2,2.883150451952e-07,0.999999711684954,1.38079354408483e-15,5.48870163192087e-50,"Richard Landers"
6,2,3.07095968619582e-17,0.999999953830867,4.61691323552477e-08,4.20111711143351e-31,"Nathan T. Carter"
7,2,5.11892026698459e-50,0.999999999502429,4.97571334458745e-10,1.07625717542761e-42,"Chu-Hsiang (Daisy) Chang"
8,2,0,0.999999999999393,6.07028901393355e-13,8.67540778914657e-96,"Kevin Ford"
9,2,0.000599600901191928,0.994718208101301,0.00468219088839287,1.09113860690249e-10,"Kevin Hoff"
10,4,1.48626234636611e-76,7.32798147517144e-27,5.43148186802997e-10,0.999999999456852,"Christopher Nye"
11,3,1.12269057415821e-232,1.260000597792e-09,0.999999998739999,1.08967868040714e-16,"Quinetta Roberson"
13,4,1.82146966388525e-29,5.1307590094908e-14,4.92445923469136e-05,0.999950755407602,"Chris Wiese"
14,4,0,2.37651270405903e-96,2.97310740521351e-40,1,"Winfred Arthur, Jr."
15,3,2.90025987338724e-155,0.0294413259717623,0.970558674028238,5.80201269690398e-24,"Mindy Bergman"
16,1,0.921648996025222,0.0783486478282283,2.356145347549e-06,1.20253169855891e-12,"Ian Hughes"
17,2,2.19255037331544e-153,0.999999538383048,4.616169516767e-07,4.03332629477672e-43,"Stephanie C. Payne"
18,2,0.000380757586012836,0.862888525507305,0.136722763415128,7.95349155421311e-06,"Ze (Mia) Zhu"
19,4,4.36487263996074e-114,1.61281581304979e-33,1.19049841353105e-12,0.999999999998809,"Bradley Brummel"
20,2,2.3056241292162e-08,0.941320531967756,0.0586794449245315,5.14708726150404e-11,"Isaac Sabat"
21,2,0.0252268002466269,0.948238759872792,0.0265217105271383,1.27293534423067e-05,"Kaylee Litson"
22,2,0.00725934044413152,0.985842930994871,0.0068977121702296,1.63907679585243e-08,"Denise Reyes"
23,1,0.999968010811212,3.19891887792813e-05,9.0424818502423e-15,3.33943209112213e-28,"Xiaowen Chen"
24,3,0,2.48362886639808e-17,0.999999997793535,2.20646496261711e-09,"Richard D. Harvey"
25,4,0,5.67386617152761e-47,4.2573101296602e-15,0.999999999999996,"Tammy Allen"
26,4,5.21414137898721e-95,2.64117612791344e-28,4.43043682400569e-10,0.999999999556956,"Michael Gillespie"
27,2,0.00180076866515726,0.718609815456537,0.277793418558185,0.00179599732012007,"Daniel Griffin"
29,3,0,1.36772674457132e-15,0.999999999999999,1.05992336274829e-38,"Steve W. J. Kozlowski"
30,2,0.0613734129889796,0.929380661862856,0.00924438465892494,1.54048923961711e-06,"Claire E. Smith"
31,2,3.98305834479969e-118,0.999749013798494,0.000250986201506296,1.01485530817565e-32,"Stephen Stark"
32,4,2.91619227197496e-14,6.59816645186573e-07,0.012837371001456,0.98716196918187,"Alexandra Harris-Watson"
33,2,0.0348924231909198,0.96509631364804,1.12631610402473e-05,4.79591558705914e-17,"Franki Y. H. Kung"
34,2,1.64269137850836e-05,0.999983483924078,8.9162136596491e-08,1.12664439442426e-25,"Brooke N. Macnamara"
35,1,0.99999999999995,5.02574611740739e-14,2.65883078753938e-34,1.64722732513316e-70,"Louis Tay"
36,2,4.64254297360906e-17,0.999995707679149,4.29232085104021e-06,2.47579603338674e-27,"Sang Eun Woo"
37,2,3.71114301751957e-70,0.999996326777226,3.67322277428391e-06,4.55026614368006e-35,"Margaret Beier"
38,3,1.26895876297011e-244,3.81721769373218e-12,0.999999999996183,6.63518073298537e-17,"Mikki Hebl"
39,4,1.98797826770029e-117,8.64741594275883e-21,0.000116275519485974,0.999883724480514,"Eden King"
40,2,1.72749975452049e-05,0.989385704969565,0.0105970199459453,8.69440465752681e-11,"Danielle King"
41,4,0,1.39731540997689e-45,1.51201519562131e-15,0.999999999999999,"Fred Oswald"
42,4,1.13044828456677e-17,1.28814745630983e-08,0.003647085228444,0.996352901890081,"Rebecca Brossoit"
43,1,0.968271464202336,0.0317285124916011,2.33060625186051e-08,2.704487984882e-18,"TianJun Sun"
44,3,1.16771137359169e-08,0.0039234779301409,0.658935284648991,0.337141225743754,"Leo Alexander III"
45,2,0,0.999999999909,9.10000214420052e-11,2.97205526240801e-76,"Fritz Drasgow"
46,3,3.81817886559998e-212,4.77975803445232e-05,0.999952202419655,3.91133669619747e-24,"Louise Fitzgerald"
47,2,1.64724878542778e-05,0.986786439995794,0.0131970873402934,1.76057906245112e-10,"Hanyi Haylee Min"
48,2,9.31916971027044e-57,0.999999964496189,3.55038114010152e-08,7.3957432861999e-38,"Daniel A Newman"
49,3,0,4.61540063168192e-14,0.999999999999954,2.51843047673541e-40,"James Rounds"
50,2,2.26012048433613e-21,0.999993549867162,6.45013283822707e-06,6.38390184059014e-26,"Malissa Clark"
51,2,0.105457881163527,0.889890557919453,0.00465114911298854,4.11804032108086e-07,"Yimin He"
52,2,0.000791926387807793,0.986247396171934,0.0129606691477847,8.2924734812644e-09,"Jeffrey Olenick"
53,3,1.93268726571301e-14,5.12876733832171e-05,0.751982761451739,0.247965950874858,"Neal Outland"
54,3,1.2485978604644e-09,0.00730680638396377,0.976556569838419,0.0161366225290197,"Melissa Robertson"
55,3,2.76244142067436e-17,0.000807885273251581,0.998845703667896,0.000346411058852612,"Afra Saeed Ahmad"
56,2,4.24251753448955e-94,0.999990512728093,9.48727190659286e-06,1.36628146368303e-34,"Reeshad S. Dalal"
57,2,5.96195415409499e-50,0.999997194645079,2.80535492062393e-06,1.04865093596373e-31,"Seth Kaplan"
58,3,3.58575478698987e-14,0.140984675403698,0.859015270536352,5.40599144438544e-08,"Lauren E. Kuykendall"
59,2,0.000265734708462791,0.602012370839416,0.397069875191239,0.000652019260882172,"Yijue Liang"
60,2,9.73402470834432e-78,1,1.01125552714854e-16,2.72913047421994e-63,"Deborah E. Rupp"
61,2,1.43351385312612e-06,0.719355082127621,0.28064341518292,6.91756055066426e-08,"Sarah Wittman"
62,2,1.34494473678821e-123,0.99994894437593,5.10556240693437e-05,3.83965443163486e-34,"James LeBreton"
64,2,6.65688971397745e-188,0.986233688894855,0.0137663111051456,3.06091872349167e-34,"Alicia Grandey"
67,3,1.1398342574798e-31,0.0018848050860389,0.998115193415214,1.49874735565035e-09,"C. Shawn Burke"
68,4,1.15742322121175e-300,5.97354754654734e-51,2.2122949772316e-20,1,"Mark Ehrhart"
69,4,0,4.84010096297843e-55,2.68221537987778e-20,1,"Barbara Fritzsche"
70,2,3.75953890954156e-05,0.949096638348584,0.0508657413359875,2.49263326481396e-08,"Chelsea LeNoble"
71,4,1.4215157252471e-78,2.89781322828581e-28,1.07575848942969e-10,0.999999999892424,"Mindy Shoss"
72,3,1.76065593948201e-09,0.087849355174353,0.912126582354281,2.40607107100298e-05,"Shiyang Su"
73,4,7.94001702969942e-40,1.37902537612554e-16,7.11411790908852e-06,0.999992885882091,"Brent Reed"
74,2,7.34070075868585e-20,0.929283565752664,0.0707164342473357,3.54304425182942e-16,"Alyssa McGonagle"
77,3,0,8.56694894301214e-07,0.999999143305106,2.54847192501844e-22,"Vicki Magley"
78,4,5.33781966733287e-11,3.00897581053393e-05,0.0407856869756206,0.959184223212896,"Lorena Solis"
79,2,1.52567495014591e-10,0.999994417144209,5.58270322394357e-06,1.58697423745356e-24,"Asia A. Eaton"
80,2,7.10706773281069e-07,0.99630141623906,0.00369787305406441,1.0204579113882e-13,"Don Zhang"
81,3,3.38107925539476e-07,0.0258722940769953,0.888495203599097,0.085632164215982,"Vanessa Burke"
82,2,0.0391228546766682,0.945874965172917,0.0149986832753133,3.49687510141012e-06,"Haley Cobb"
83,4,2.94353668652162e-64,3.4959498174176e-23,3.40944395556665e-08,0.99999996590556,"Dev Dalal"
84,3,0,8.60846065047459e-14,0.999999999997202,2.71178298046929e-12,"Sylvia Roch"
85,2,0,0.999999838082977,1.61917023205776e-07,2.33770492394535e-73,"Kevin Williams"
87,2,4.5198816000447e-89,0.705805009737094,0.294194990262906,2.56880809698723e-22,"Jinyan Fan"
88,2,0.000558667725215606,0.994554547573387,0.00488678457359289,1.27804191922529e-10,"Gargi Sawhney"
89,4,5.0984251762155e-09,0.000643500860470711,0.169069403919066,0.830287090122038,"John Schmidt"
90,2,0.0124485459206256,0.932305421698422,0.0551952703757862,5.07620051662172e-05,"Paige Watson"
91,2,3.3266350960458e-06,0.994182459651632,0.00581421370907783,4.19446332359631e-12,"Charles Calderwood"
92,2,0.155348906863443,0.844032257173815,0.00061883492820695,1.03453540834707e-09,"Louis Hickman"
93,3,5.2662123228482e-08,0.00916321348413506,0.783692725458212,0.20714400839553,"Ning Hsu"
95,2,3.49285577802377e-58,0.999999988359617,1.16403833945236e-08,7.14012539755913e-39,"Bryan Dik"
96,2,0.000288932808310453,0.985710162685573,0.0140009034762921,1.02982458257729e-09,"Keaton Fletcher"
97,4,1.13044828456677e-17,1.28814745630983e-08,0.003647085228444,0.996352901890081,"Danielle Gardner"
98,2,7.60395937228051e-06,0.73969153569523,0.26030025411452,6.06230877856817e-07,"Josh Prasad"
99,4,1.92494748523892e-43,1.48204451401492e-13,0.00321934057169965,0.996780659428152,"Gwen Fisher"
100,3,1.11560844757305e-70,4.0548069657734e-07,0.999677488137315,0.000322106381988558,"Alyssa Gibbons"
101,3,2.31838703982847e-15,0.00627156373722099,0.993728089280096,3.46982680668248e-07,"Clair Reynolds Kueny"
103,3,1.97617971359659e-12,0.000197217002823563,0.753842203170867,0.245960579824333,"Vahe Permzadian"
105,2,0.0448289208357965,0.942465653697418,0.012703006223256,2.41924352961584e-06,"Andrea Bazzoli"
106,2,0.000356618491844054,0.662209810670437,0.336953931604138,0.000479639233580607,"Dia Chatterjee"
107,4,2.21255282886493e-299,1.81877614758913e-51,1.12847234886379e-20,1,"Yochi Cohen-Charash"
108,3,1.6104169947538e-07,0.0171740100917143,0.837391830293774,0.145433998572812,"Anna Gödöllei"
109,3,2.09228474895267e-130,0.000723935964539258,0.999276064035461,8.21578231011525e-17,"Charles Scherbaum"
110,4,0,8.15650443801345e-58,2.39145097160847e-23,1,"Kristin Sommer"
111,4,3.44567749029834e-87,5.64532917934123e-29,9.71768768962603e-11,0.999999999902823,"Adrienne Carter-Sowell"
112,4,0,3.90130473834616e-36,1.10652870600484e-10,0.999999999889347,"Eric Day"
113,2,6.82841171992e-120,0.999999987035421,1.29645790700246e-08,1.36721518810738e-46,"Shane Connelly"
114,4,1.36140097509364e-228,4.70392564527061e-46,3.11940217248854e-18,1,"Jennifer Kisamore"
115,4,1.27667161293242e-09,0.000998062887011099,0.43570502657143,0.563296909264887,"Preston Lindsay"
116,1,1,8.75412317009627e-65,7.5054138790922e-95,6.13554550420996e-170,"Cong Liu"
118,2,0.0516246003411733,0.936852478869848,0.0115206175005077,2.30328847102675e-06,"Jenna Van Fossen"
119,4,0,1.64178055964513e-63,2.50712573494258e-26,1,"Cindy Pury"
120,2,1.72353023172739e-36,0.999474440464061,0.000525559535939354,1.82076101597973e-26,"Patrick Rosopa"
121,2,2.28298322812464e-13,0.999888814275953,0.00011118572381889,2.41454672765639e-19,"Marissa Shuffler"
122,2,7.07871705052742e-146,0.999999990270595,9.72940535412086e-09,2.10089202260319e-47,"Robert R. Sinclair"
