"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
93,3,2.67535711381725e-13,2.56486032426717e-11,0.79550967167245,0.204490328301634,"Ning Hsu","Virginia Tech",2022,0,4,0,1
115,3,1.04607564930961e-13,6.69290919352658e-11,0.83189292159373,0.168107078339236,"Preston Lindsay","Rutgers University",2022,0,4,0,0.75
11,3,5.74863444286961e-53,0,0.999821540217849,0.000178459782150719,"Quinetta Roberson","Michigan State University",1999,0,27,2,3
42,3,3.54925139494304e-18,4.22919292315756e-10,0.957614672073549,0.0423853275035318,"Rebecca Brossoit","Rice University",2021,0,5,0,0
24,3,7.91309021812128e-68,0,0.9999999999908,9.19990764843327e-12,"Richard D. Harvey","Saint Louis University",1995,1,31,0,2.19354838709677
72,3,5.72264443015207e-20,1.19675175449854e-15,0.702196666249522,0.297803333750477,"Shiyang Su","University of Central Florida",2018,0,8,0,2.375
29,3,1.12056534246784e-62,0,0.999999825997032,1.74002967903634e-07,"Steve W. J. Kozlowski","University of South Florida",1982,0,44,2,4.18181818181818
84,3,6.06834268268861e-59,0,0.999999966547915,3.34520847071618e-08,"Sylvia Roch","University at Albany, SUNY",1997,0,29,2,2.6551724137931
25,3,8.20416901233674e-86,0,1,4.13767664851612e-18,"Tammy Allen","University of South Florida",1996,0,30,2,0.5
126,3,2.47922901966151e-11,1.79535029502871e-13,0.538737471312451,0.461262528662577,"Tiffany Bisbey","George Washington University",2022,0,4,0,2.25
103,3,1.56655048167966e-18,1.2060945354253e-10,0.888790118337819,0.111209881541572,"Vahe Permzadian","Missouri University of Science & Technology",2020,0,6,0,1.16666666666667
81,3,1.62624879340658e-12,1.02571960321473e-11,0.699228619640182,0.300771380347935,"Vanessa Burke","Louisiana State University",2022,0,4,0,1.5
77,3,1.11357268021633e-47,0,0.998401624093463,0.00159837590653715,"Vicki Magley","University of Connecitcut",1997,0,29,2,3.68965517241379
