"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
115,3,5.55965298384238e-14,0.016996902940173,0.908309892450308,0.0746932046094637,"Preston Lindsay","Rutgers University",2022,0,4,0,0.75
11,3,1.34699509059172e-80,0,0.999878293788793,0.000121706211207538,"Quinetta Roberson","Michigan State University",1999,0,27,2,3
42,3,2.07077444777005e-20,0.0219658818044341,0.965682179251141,0.0123519389444254,"Rebecca Brossoit","Rice University",2021,0,5,0,0
24,3,2.37872437481914e-86,0,0.999999999999696,3.03728486098623e-13,"Richard D. Harvey","Saint Louis University",1995,1,31,0,2.19354838709677
72,3,1.36639318858947e-28,0.0100453471953634,0.832789136900629,0.157165515904007,"Shiyang Su","University of Central Florida",2018,0,8,0,2.375
29,3,0,0,0.999999999999478,5.21594628992267e-13,"Steve W. J. Kozlowski","University of South Florida",1982,0,44,2,4.18181818181818
84,3,8.05079493204869e-72,0,0.999999994608508,5.39149238260154e-09,"Sylvia Roch","University at Albany, SUNY",1997,0,29,2,2.6551724137931
25,3,7.73327319461123e-112,0,1,1.89384235020403e-20,"Tammy Allen","University of South Florida",1996,0,30,2,0.5
126,3,1.37808438899425e-11,0.0173063567080889,0.669187341825981,0.313506301452149,"Tiffany Bisbey","George Washington University",2022,0,4,0,2.25
103,3,4.23406136852739e-22,0.0151868246282961,0.94490331463124,0.0399098607404637,"Vahe Permzadian","Missouri University of Science & Technology",2020,0,6,0,1.16666666666667
81,3,1.38522968896861e-12,0.0147777898590049,0.819318459025374,0.165903751114236,"Vanessa Burke","Louisiana State University",2022,0,4,0,1.5
77,3,1.14204857000685e-62,0,0.998655056510641,0.00134494348935864,"Vicki Magley","University of Connecitcut",1997,0,29,2,3.68965517241379
14,3,1.21902889362268e-260,0,1,5.20961226251385e-41,"Winfred Arthur, Jr.","Texas A&M University",1987,0,39,2,0.0512820512820513
107,3,2.09136049459732e-107,0,1,8.2402917581495e-17,"Yochi Cohen-Charash","CUNY Graduate Center",2001,0,25,2,0.04
64,4,1.56379810062831e-63,0,2.46000908371191e-07,0.999999753999092,"Alicia Grandey","Pennsylvania State University",1999,0,27,2,5.18518518518519
74,4,7.68562850857008e-48,4.36923292612234e-19,0.00186247295144116,0.998137527048559,"Alyssa McGonagle","University of North Carolina at Charlotte",2011,0,15,1,4.4
105,4,0.000729804453391156,0.000887904823830392,0.0429291853790551,0.955453105343723,"Andrea Bazzoli","CUNY Graduate Center",2023,0,3,0,6.33333333333333
79,4,4.47877370323227e-34,6.84570801482844e-13,1.5182057833994e-06,0.999998481793532,"Asia A. Eaton","Florida International University",2012,0,14,2,6
34,4,5.01568850560073e-22,4.7297393605914e-11,6.04114775761027e-08,0.999999939541225,"Brooke N. Macnamara","Purdue University",2014,0,12,1,7.5
95,4,1.32260748642209e-33,6.5572361658287e-255,9.9272860670094e-12,0.999999999990073,"Bryan Dik","Colorado State University",2005,0,21,2,7.0952380952381
91,4,1.69012317633845e-25,0.00045858739678491,0.021535552094198,0.978005860509017,"Charles Calderwood","Virginia Tech",2017,0,9,1,4.44444444444444
70,4,2.30977327535269e-19,0.00316070828619734,0.140824969235848,0.856014322477954,"Chelsea LeNoble","University of Central Florida",2019,0,7,0,3.85714285714286
7,4,1.39107674024551e-34,1.57672985854671e-233,1.32987908523466e-12,0.99999999999867,"Chu-Hsiang (Daisy) Chang","Michigan State University",2005,0,21,2,7.14285714285714
30,4,0.000123336732780257,0.00283759241700949,0.0607110284599288,0.936328042390282,"Claire E. Smith","University of South Florida",2023,0,3,0,6
48,4,6.70310536073161e-40,3.02950393486095e-240,1.42076920568215e-10,0.999999999857923,"Daniel A Newman","University of Illinois Urbana-Champaign",2005,0,21,2,6.57142857142857
27,4,1.64494432853254e-07,0.0133521189377648,0.460352379863634,0.526295336704168,"Daniel Griffin","University of South Florida",2023,0,3,0,3
40,4,3.63260814069708e-19,3.46992946622547e-05,0.0058049527485244,0.994160347956813,"Danielle King","Rice University",2018,0,8,1,5.125
60,4,8.69038168864778e-12,0,4.79421917899918e-25,0.99999999999131,"Deborah E. Rupp","George Mason University",2002,0,24,2,9.91666666666667
22,4,1.50690264374787e-09,0.000681367269569897,0.0313366126888033,0.967982018534724,"Denise Reyes","University of Houston",2021,0,5,0,5.2
80,4,2.97807883634904e-27,0.000261322846642957,0.00385518375361703,0.99588349339974,"Don Zhang","Louisiana State University",2016,0,10,1,4.8
33,4,6.51750060901535e-14,1.33465889627039e-05,6.93715940281146e-05,0.999917281816944,"Franki Y. H. Kung","Purdue University",2018,0,8,1,6.875
45,4,0,0,1.39096611390397e-17,1,"Fritz Drasgow","University of Illinois Urbana-Champaign",1982,0,40,2,7.325
88,4,1.70085475167956e-16,0.000673815778990908,0.0220680477059081,0.977258136515101,"Gargi Sawhney","Auburn University",2019,0,7,1,4.71428571428571
82,4,0.000266116512178038,0.0014290569479309,0.0577950499584518,0.940509776581439,"Haley Cobb","Louisiana State University",2023,0,3,0,6
47,4,1.80071253183337e-20,0.000238564882586079,0.0144664675783451,0.985294967539069,"Hanyi Haylee Min","University of Illinois Urbana-Champaign",2018,0,8,0,4.75
20,4,7.13703621790467e-31,0.000961845738826747,0.0517845157585944,0.947253638502579,"Isaac Sabat","University of Houston",2016,0,10,1,4
62,4,1.22631925338319e-38,0,2.16338957258847e-08,0.999999978366104,"James LeBreton","Pennsylvania State University",2002,0,24,2,5.875
52,4,1.73428156352421e-13,0.000474343643035803,0.0426190074518434,0.956906648904947,"Jeffrey Olenick","University of Georgia",2020,0,6,0,4.66666666666667
118,4,0.000149195816933195,0.00253276609014356,0.0598456661509959,0.937472371941927,"Jenna Van Fossen","Clemson University",2023,0,3,0,6
87,4,3.79574931441996e-60,0,0.0619266697099134,0.938073330290087,"Jinyan Fan","Auburn University",2004,0,22,2,4.04545454545455
98,4,4.56383676181133e-20,0.00667916120637882,0.310486122864793,0.682834715928828,"Josh Prasad","Colorado State University",2019,0,7,0,3.28571428571429
21,4,1.29563796362663e-05,0.00616809760107788,0.134060887857593,0.859758058161693,"Kaylee Litson","University of Houston",2023,0,3,0,5
96,4,2.05909300803945e-14,0.000342496734719303,0.00558307951234575,0.994074423752914,"Keaton Fletcher","Colorado State University",2019,0,7,0,5.28571428571429
